tf_gene_name	uniprot_id	uniprot_ac	gene_names	tf_superclass	tf_class	tf_family	tf_subfamily	tf_genus	tf_molecular_species	cisbp_families	cisbp_dbds
Nr2f1	COT1_MOUSE	Q60632	Nr2f1:Erbal3:Tfcoup1	Zinc-coordinating DNA-binding domains{2}	Nuclear receptors with C4 zinc fingers{2.1}	RXR-related receptors (NR2){2.1.3}	COUP-like receptors (NR2F){2.1.3.5}	COUP-TFI  (NR2F1){2.1.3.5.1}		Nuclear receptor	zf-C4
Nr2f2	COT2_MOUSE	P43135	Nr2f2:Aporp1:Arp-1:Arp1:Tfcoup2	Zinc-coordinating DNA-binding domains{2}	Nuclear receptors with C4 zinc fingers{2.1}	RXR-related receptors (NR2){2.1.3}	COUP-like receptors (NR2F){2.1.3.5}	COUP-TFII  (NR2F2){2.1.3.5.2}		Nuclear receptor	zf-C4
Nr2f6	NR2F6_MOUSE	P43136	Nr2f6:Ear-2:Ear2:Erbal2	Zinc-coordinating DNA-binding domains{2}	Nuclear receptors with C4 zinc fingers{2.1}	RXR-related receptors (NR2){2.1.3}	COUP-like receptors (NR2F){2.1.3.5}	EAR2  (NR2F6){2.1.3.5.3}		Nuclear receptor	zf-C4
Nr5a1	STF1_MOUSE	P33242	Nr5a1:Ftzf1	Zinc-coordinating DNA-binding domains{2}	Nuclear receptors with C4 zinc fingers{2.1}	FTZ-F1-related receptors (NR5){2.1.5}	FTZ-F1 (SF-1) (NR5A1){2.1.5.0.1}	FTZ-F1 (SF-1) (NR5A1){2.1.5.0.1}	FTZ-F1, isoform 1{2.1.5.0.1.1}:FTZ-F1, isoform 2{2.1.5.0.1.2}	Nuclear receptor	zf-C4
OCA2	P_HUMAN	Q04671	OCA2:D15S12:P								
OLIG1	OLIG1_HUMAN	Q8TAK6	OLIG1:BHLHB6:BHLHE21	Basic domains{1}	Basic helix-loop-helix factors (bHLH){1.2}	Tal-related factors{1.2.3}	Neurogenin / Atonal-like factors{1.2.3.4}	OLIGO1{1.2.3.4.13}		bHLH	HLH
OLIG2	OLIG2_HUMAN	Q13516	OLIG2:BHLHB1:BHLHE19:PRKCBP2:RACK17	Basic domains{1}	Basic helix-loop-helix factors (bHLH){1.2}	Tal-related factors{1.2.3}	Neurogenin / Atonal-like factors{1.2.3.4}	OLIGO2{1.2.3.4.14}		bHLH	HLH
OLIG3	OLIG3_HUMAN	Q7RTU3	OLIG3:BHLHB7:BHLHE20	Basic domains{1}	Basic helix-loop-helix factors (bHLH){1.2}	Tal-related factors{1.2.3}	Neurogenin / Atonal-like factors{1.2.3.4}	OLIGO3{1.2.3.4.15}		bHLH	HLH
ONECUT1	HNF6_HUMAN	Q9UBC0	ONECUT1:HNF6:HNF6A	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	HD-CUT factors{3.1.9}	ONECUT{3.1.9.1}	ONECUT-1 (HNF6, HNF-6alpha, OC-1){3.1.9.1.1}		CUT	Homeodomain	CUT	Homeobox
ONECUT2	ONEC2_HUMAN	O95948	ONECUT2:HNF6B	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	HD-CUT factors{3.1.9}	ONECUT{3.1.9.1}	ONECUT-2 (HNF-6beta, OC-2){3.1.9.1.2}		CUT	Homeodomain	CUT	Homeobox
ONECUT3	ONEC3_HUMAN	O60422	ONECUT3	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	HD-CUT factors{3.1.9}	ONECUT{3.1.9.1}	ONECUT-3 (OC-3){3.1.9.1.3}		CUT	Homeodomain	CUT	Homeobox
OSR2	OSR2_HUMAN	Q8N2R0	OSR2	Zinc-coordinating DNA-binding domains{2}	C2H2 zinc finger factors{2.3}	More than 3 adjacent zinc finger factors{2.3.3}	unclassified{2.3.3.0}	OSR2{2.3.3.0.9}	OSR2, isoform 1{2.3.3.0.9.1}:OSR2, isoform 2{2.3.3.0.9.2}:OSR2, isoform 3{2.3.3.0.9.3}	C2H2 ZF	zf-C2H2
OTX1	OTX1_HUMAN	P32242	OTX1	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	Paired-related HD factors{3.1.3}	OTX{3.1.3.17}	OTX-1{3.1.3.17.1}		Homeodomain	Homeobox
OTX2	OTX2_HUMAN	P32243	OTX2	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	Paired-related HD factors{3.1.3}	OTX{3.1.3.17}	OTX-2{3.1.3.17.2}	OTX-2, isoform 1{3.1.3.17.2.1}:OTX-2, isoform 2{3.1.3.17.2.2}	Homeodomain	Homeobox
OVOL1	OVOL1_HUMAN	O14753	OVOL1	Zinc-coordinating DNA-binding domains{2}	C2H2 zinc finger factors{2.3}	More than 3 adjacent zinc finger factors{2.3.3}	OVOL-factors{2.3.3.17}	OVOL1 [4]{2.3.3.17.1}		C2H2 ZF	zf-C2H2
OVOL2	OVOL2_HUMAN	Q9BRP0	OVOL2:ZNF339	Zinc-coordinating DNA-binding domains{2}	C2H2 zinc finger factors{2.3}	More than 3 adjacent zinc finger factors{2.3.3}	OVOL-factors{2.3.3.17}	OVOL2 (ZNF339) [4]{2.3.3.17.2}	OVOL2, isoform 1{2.3.3.17.2.1}:OVOL2, isoform 2{2.3.3.17.2.2}	C2H2 ZF	zf-C2H2
Oct-1	PO2F1_MOUSE	P25425	Pou2f1:Oct-1:Otf-1:Otf1	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	POU domain factors{3.1.10}	POU2 (Oct-1/2-like factors){3.1.10.2}	POU2F1 (Oct-1, OTF-1){3.1.10.2.1}	POU2F1, isoform 1 (Oct-1A){3.1.10.2.1.1}:POU2F1, isoform 10 (Oct-1Z){3.1.10.2.1.10}:POU2F1, isoform 11{3.1.10.2.1.11}:POU2F1, isoform 12{3.1.10.2.1.12}:POU2F1, isoform 2 (Oct-1B){3.1.10.2.1.2}:POU2F1, isoform 3 (Oct-1C){3.1.10.2.1.3}:POU2F1, isoform 4{3.1.10.2.1.4}:POU2F1, isoform 5 (Oct-1R){3.1.10.2.1.5}:POU2F1, isoform 6{3.1.10.2.1.6}:POU2F1, isoform 7{3.1.10.2.1.7}:POU2F1, isoform 8{3.1.10.2.1.8}:POU2F1, isoform 9{3.1.10.2.1.9}		
Og2x	NOBOX_MOUSE	Q8VIH1	Nobox:Og2x								
Osr2	OSR2_MOUSE	Q91ZD1	Osr2	Zinc-coordinating DNA-binding domains{2}	C2H2 zinc finger factors{2.3}	More than 3 adjacent zinc finger factors{2.3.3}	unclassified{2.3.3.0}	OSR2{2.3.3.0.9}	OSR2, isoform 1 (OSR2A){2.3.3.0.9.1}:OSR2, isoform 2 (OSR2B){2.3.3.0.9.2}	C2H2 ZF	zf-C2H2
Otp	OTP_MOUSE	O09113	Otp	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	Paired-related HD factors{3.1.3}	OTP{3.1.3.16}	OTP{3.1.3.16.1}			
Otx1	OTX1_MOUSE	P80205	Otx1:Otx-1	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	Paired-related HD factors{3.1.3}	OTX{3.1.3.17}	OTX-1{3.1.3.17.1}		Homeodomain	Homeobox
Otx2	OTX2_MOUSE	P80206	Otx2:Otx-2	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	Paired-related HD factors{3.1.3}	OTX{3.1.3.17}	OTX-2{3.1.3.17.2}		Homeodomain	Homeobox
PATZ1	PATZ1_HUMAN	Q9HBE1	PATZ1:PATZ:RIAZ:ZBTB19:ZNF278:ZSG	Zinc-coordinating DNA-binding domains{2}	C2H2 zinc finger factors{2.3}	Factors with multiple dispersed zinc fingers{2.3.4}	MAZ-like factors{2.3.4.8}	PATZ1 (RIAZ, ZBTB19, ZNF278, ZSG) [1+5+1]{2.3.4.8.3}	PATZ1, isoform 1 (C){2.3.4.8.3.1}:PATZ1, isoform 2 (B) [1+4]{2.3.4.8.3.2}:PATZ1, isoform 3 (A) [1+4+1]{2.3.4.8.3.3}:PATZ1, isoform 4 (Short) [1+3]{2.3.4.8.3.4}	C2H2 ZF	zf-C2H2
PAX1	PAX1_HUMAN	P15863	PAX1:HUP48	Helix-turn-helix domains{3}	Paired box factors{3.2}	Paired domain only{3.2.2}	PAX-1/9 (no homeo remnant){3.2.2.1}	Pax-1 (HuP48){3.2.2.1.1}	Pax-1, isoform 1{3.2.2.1.1.1}:Pax-1, isoform 2{3.2.2.1.1.2}:Pax-1, isoform 3{3.2.2.1.1.3}	Paired box	PAX
PAX2	PAX2_HUMAN	Q02962	PAX2	Helix-turn-helix domains{3}	Paired box factors{3.2}	Paired domain only{3.2.2}	PAX-2-like factors (partial homeobox){3.2.2.2}	Pax-2{3.2.2.2.1}	Pax-2, isoform 1{3.2.2.2.1.1}:Pax-2, isoform 2{3.2.2.2.1.2}:Pax-2, isoform 3{3.2.2.2.1.3}:Pax-2, isoform 4{3.2.2.2.1.4}	Homeodomain	Paired box	Homeobox	PAX
PAX3	PAX3_HUMAN	P23760	PAX3:HUP2	Helix-turn-helix domains{3}	Paired box factors{3.2}	Paired plus homeo domain{3.2.1}	PAX-3/7{3.2.1.1}	Pax-3 (HuP2){3.2.1.1.1}	Pax-3{3.2.1.1.1.1}:Pax-3A{3.2.1.1.1.2}:Pax-3B{3.2.1.1.1.3}:Pax-3G{3.2.1.1.1.4}:Pax-3H{3.2.1.1.1.5}:Pax-3, isoform 6{3.2.1.1.1.6}:Pax-3, isoform 7{3.2.1.1.1.7}:Pax-3E{3.2.1.1.1.8}	Homeodomain	Paired box	Homeobox	PAX
PAX4	PAX4_HUMAN	O43316	PAX4	Helix-turn-helix domains{3}	Paired box factors{3.2}	Paired plus homeo domain{3.2.1}	PAX-4/6{3.2.1.2}	Pax-4{3.2.1.2.1}	Pax-4, isoform 1{3.2.1.2.1.1}:Pax-4, isoform 2{3.2.1.2.1.2}:Pax-4, isoform 3{3.2.1.2.1.3}		
PAX5	PAX5_HUMAN	Q02548	PAX5	Helix-turn-helix domains{3}	Paired box factors{3.2}	Paired domain only{3.2.2}	PAX-2-like factors (partial homeobox){3.2.2.2}	Pax-5{3.2.2.2.2}	Pax-5, isoform 1{3.2.2.2.2.1}:Pax-5, isoform 10{3.2.2.2.2.10}:Pax-5, isoform 11{3.2.2.2.2.11}:Pax-5, isoform 2 (delta9){3.2.2.2.2.2}:Pax-5, isoform 3 (delta78){3.2.2.2.2.3}:Pax-5, isoform 4 (delta789){3.2.2.2.2.4}:Pax-5, isoform 5 (delta8){3.2.2.2.2.5}:Pax-5, isoform 6 (delta7){3.2.2.2.2.6}:Pax-5, isoform 7{3.2.2.2.2.7}:Pax-5, isoform 8{3.2.2.2.2.8}:Pax-5, isoform 9{3.2.2.2.2.9}	Paired box	PAX
PAX6	PAX6_HUMAN	P26367	PAX6:AN2	Helix-turn-helix domains{3}	Paired box factors{3.2}	Paired plus homeo domain{3.2.1}	PAX-4/6{3.2.1.2}	Pax-6 (AN2){3.2.1.2.2}	Pax-6, isoform 1{3.2.1.2.2.1}:Pax-6, isoform 3{3.2.1.2.2.2}:Pax-6-5a, isoform 5a{3.2.1.2.2.3}	Homeodomain	Paired box	Homeobox	PAX
PAX7	PAX7_HUMAN	P23759	PAX7:HUP1	Helix-turn-helix domains{3}	Paired box factors{3.2}	Paired plus homeo domain{3.2.1}	PAX-3/7{3.2.1.1}	Pax-7 (HuP1){3.2.1.1.2}	Pax-7, isoform long{3.2.1.1.2.1}:Pax-7, isoform short{3.2.1.1.2.2}:Pax-7, isoform 3{3.2.1.1.2.3}	Homeodomain	Paired box	Homeobox	PAX
PAX8	PAX8_HUMAN	Q06710	PAX8	Helix-turn-helix domains{3}	Paired box factors{3.2}	Paired domain only{3.2.2}	PAX-2-like factors (partial homeobox){3.2.2.2}	Pax-8{3.2.2.2.3}	Pax-8a, isoform 1{3.2.2.2.3.1}:Pax-8b, isoform 2{3.2.2.2.3.2}:Pax-8c, isoform 3{3.2.2.2.3.3}:Pax-8d, isoform 4{3.2.2.2.3.4}:Pax-8e, isoform 5{3.2.2.2.3.5}	Paired box	PAX
PAX9	PAX9_HUMAN	P55771	PAX9	Helix-turn-helix domains{3}	Paired box factors{3.2}	Paired domain only{3.2.2}	PAX-1/9 (no homeo remnant){3.2.2.1}	Pax-9{3.2.2.1.2}		Paired box	PAX
PBX1	PBX1_HUMAN	P40424	PBX1:PRL	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	TALE-type homeo domain factors{3.1.4}	PBX{3.1.4.4}	PBX-1{3.1.4.4.1}:PBX-3{3.1.4.4.3}	PBX-1a{3.1.4.4.1.1}:PBX-1b{3.1.4.4.1.2}:PBX-1, isoform 3{3.1.4.4.1.3}:PBX-3c{3.1.4.4.3.3}:PBX-3d{3.1.4.4.3.4}:PBX-3, isoform 5{3.1.4.4.3.5}	Homeodomain	Homeobox
PBX2	PBX2_HUMAN	P40425	PBX2:G17	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	TALE-type homeo domain factors{3.1.4}	PBX{3.1.4.4}	PBX-2{3.1.4.4.2}			
PBX3	PBX3_HUMAN	P40426	PBX3	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	TALE-type homeo domain factors{3.1.4}	PBX{3.1.4.4}	PBX-3{3.1.4.4.3}	PBX-3a{3.1.4.4.3.1}:PBX-3b{3.1.4.4.3.2}	Homeodomain	Homeobox
PBX4	PBX4_HUMAN	Q9BYU1	PBX4	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	TALE-type homeo domain factors{3.1.4}	PBX{3.1.4.4}	PBX-4{3.1.4.4.4}		Homeodomain	Homeobox
PCGF2	PCGF2_HUMAN	P35227	PCGF2:MEL18:RNF110:ZNF144								
PGR	PRGR_HUMAN	P06401	PGR:NR3C3	Zinc-coordinating DNA-binding domains{2}	Nuclear receptors with C4 zinc fingers{2.1}	Steroid hormone receptors (NR3){2.1.1}	GR-like receptors (NR3C){2.1.1.1}	Progesterone receptor (PR) (NR3C3){2.1.1.1.3}	PR, isoform A{2.1.1.1.3.1}:PR, isoform B{2.1.1.1.3.2}:PR, isoform 3{2.1.1.1.3.3}:PR, isoform 4 (PR-M){2.1.1.1.3.4}:PR, isoform 5 (delta4){2.1.1.1.3.5}	Nuclear receptor	zf-C4
PHF1	PHF1_HUMAN	O43189	PHF1:PCL1							Unknown	UNKNOWN
PHF19	PHF19_HUMAN	Q5T6S3	PHF19:PCL3								
PHF8	PHF8_HUMAN	Q9UPP1	PHF8:KIAA1111:ZNF422								
PHOX2A	PHX2A_HUMAN	O14813	PHOX2A:ARIX:PMX2A	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	Paired-related HD factors{3.1.3}	PHOX{3.1.3.18}	PHOX-2A (ARIX, PMX2A){3.1.3.18.1}		Homeodomain	Homeobox
PHOX2B	PHX2B_HUMAN	Q99453	PHOX2B:PMX2B	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	Paired-related HD factors{3.1.3}	PHOX{3.1.3.18}	PHOX-2B (PMX2B){3.1.3.18.2}		Homeodomain	Homeobox
PIAS1	PIAS1_HUMAN	O75925	PIAS1:DDXBP1								
PITX1	PITX1_HUMAN	P78337	PITX1:BFT:PTX1	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	Paired-related HD factors{3.1.3}	PITX{3.1.3.19}	PITX-1 (BFT, PTX1){3.1.3.19.1}		Homeodomain	Homeobox
PITX2	PITX2_HUMAN	Q99697	PITX2:ARP1:RGS:RIEG:RIEG1	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	Paired-related HD factors{3.1.3}	PITX{3.1.3.19}	PITX-2 (ARP, RGS, RIEG1){3.1.3.19.2}	PITX-2A (ARP1A){3.1.3.19.2.1}:PITX-2B (ARP1B){3.1.3.19.2.2}:PITX-2C (ARP1C){3.1.3.19.2.3}	Homeodomain	Homeobox
PITX3	PITX3_HUMAN	O75364	PITX3:PTX3	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	Paired-related HD factors{3.1.3}	PITX{3.1.3.19}	PITX-3 (PTX3){3.1.3.19.3}		Homeodomain	Homeobox
PKNOX1	PKNX1_HUMAN	P55347	PKNOX1:PREP1	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	TALE-type homeo domain factors{3.1.4}	PKNOX{3.1.4.5}	PKNOX-1 (PREP-1){3.1.4.5.1}	PKNOX-1, isoform 1{3.1.4.5.1.1}:PKNOX-1, isoform 2 (PKNOX-1B){3.1.4.5.1.2}	Homeodomain	Homeobox
PKNOX2	PKNX2_HUMAN	Q96KN3	PKNOX2:PREP2	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	TALE-type homeo domain factors{3.1.4}	PKNOX{3.1.4.5}	PKNOX-2 (PREP-2){3.1.4.5.2}	PKNOX-2, isoform 1{3.1.4.5.2.1}:PKNOX-2, isoform 2{3.1.4.5.2.2}	Homeodomain	Homeobox
PLAG1	PLAG1_HUMAN	Q6DJT9	PLAG1	Zinc-coordinating DNA-binding domains{2}	C2H2 zinc finger factors{2.3}	More than 3 adjacent zinc finger factors{2.3.3}	PLAG factors{2.3.3.25}	PLAG1 [7]{2.3.3.25.2}			
PLAGL1	PLAL1_HUMAN	Q9UM63	PLAGL1:LOT1:ZAC	Zinc-coordinating DNA-binding domains{2}	C2H2 zinc finger factors{2.3}	More than 3 adjacent zinc finger factors{2.3.3}	PLAG factors{2.3.3.25}	PLAGL1 (LOT1, ZAC) [7]{2.3.3.25.3}	PLAGL1, isoform 1{2.3.3.25.3.1}:PLAGL1, isoform 2 (ZACdelta2){2.3.3.25.3.2}	C2H2 ZF	zf-C2H2
PLAGL2	PLAL2_HUMAN	Q9UPG8	PLAGL2:KIAA0198	Zinc-coordinating DNA-binding domains{2}	C2H2 zinc finger factors{2.3}	More than 3 adjacent zinc finger factors{2.3.3}	PLAG factors{2.3.3.25}	PLAGL2 [6]{2.3.3.25.1}		C2H2 ZF	zf-C2H2
PML	PML_HUMAN	P29590	PML:MYL:PP8675:RNF71:TRIM19								
POU1F1	PIT1_HUMAN	P28069	POU1F1:GHF1:PIT1	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	POU domain factors{3.1.10}	POU1 (Pit-1-like factors){3.1.10.1}	POU1F1 (Pit-1, GHF-1){3.1.10.1.1}	POU1F1, isoform A (Pit-1A, GHF-2){3.1.10.1.1.1}:POU1F1, isoform B (Pit-1B, GHF-1){3.1.10.1.1.2}	Homeodomain	POU	Homeobox	Pou
POU2F1	PO2F1_HUMAN	P14859	POU2F1:OCT1:OTF1	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	POU domain factors{3.1.10}	POU2 (Oct-1/2-like factors){3.1.10.2}	POU2F1 (Oct-1, OTF-1){3.1.10.2.1}	POU2F1, isoform 1{3.1.10.2.1.1}:POU2F1, isoform 2 (Oct-1L){3.1.10.2.1.2}:POU2F1, isoform 3{3.1.10.2.1.3}:POU2F1, isoform 4{3.1.10.2.1.4}:POU2F1, isoform 5{3.1.10.2.1.5}:POU2F1, isoform 6{3.1.10.2.1.6}	Homeodomain	POU	Homeobox	Pou
POU2F2	PO2F2_HUMAN	P09086	POU2F2:OCT2:OTF2	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	POU domain factors{3.1.10}	POU2 (Oct-1/2-like factors){3.1.10.2}	POU2F2 (Oct-2, OTF-2){3.1.10.2.2}	POU2F2, isoform 1{3.1.10.2.2.1}:POU2F2, isoform 2{3.1.10.2.2.2}:POU2F2, isoform 3{3.1.10.2.2.3}:POU2F2, isoform 4{3.1.10.2.2.4}:POU2F2, isoform 5{3.1.10.2.2.5}	Homeodomain	POU	Homeobox	Pou
POU2F3	PO2F3_HUMAN	Q9UKI9	POU2F3:OTF11:PLA1	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	POU domain factors{3.1.10}	POU2 (Oct-1/2-like factors){3.1.10.2}	POU2F3 (Oct-11, OTF-11, Skn-1){3.1.10.2.3}	POU2F3, isoform 1{3.1.10.2.3.1}:POU2F3, isoform 2{3.1.10.2.3.2}:POU2F3, isoform 3{3.1.10.2.3.3}	Homeodomain	POU	Homeobox	Pou
POU3F1	PO3F1_HUMAN	Q03052	POU3F1:OCT6:OTF6	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	POU domain factors{3.1.10}	POU3 (Oct-6-like factors){3.1.10.3}	POU3F1 (Oct-6, OTF-6, SCIP){3.1.10.3.1}		Homeodomain	POU	Homeobox	Pou
POU3F2	PO3F2_HUMAN	P20265	POU3F2:BRN2:OCT7:OTF7	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	POU domain factors{3.1.10}	POU3 (Oct-6-like factors){3.1.10.3}	POU3F2 (Oct-7, OTF-7, Brn-2){3.1.10.3.2}	POU3F2, isoform N-Oct-3{3.1.10.3.2.1}:POU3F2, isoform N-Oct-5A{3.1.10.3.2.2}:POU3F2, isoform N-Oct-5B{3.1.10.3.2.3}	Homeodomain	POU	Homeobox	Pou
POU3F3	PO3F3_HUMAN	P20264	POU3F3:BRN1:OTF8	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	POU domain factors{3.1.10}	POU3 (Oct-6-like factors){3.1.10.3}	POU3F3 (Oct-8, OTF-8, Brn-1){3.1.10.3.3}		Homeodomain	POU	Homeobox	Pou
POU3F4	PO3F4_HUMAN	P49335	POU3F4:BRN4:OTF9	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	POU domain factors{3.1.10}	POU3 (Oct-6-like factors){3.1.10.3}	POU3F4 (Oct-9, OTF-9, Brn-4){3.1.10.3.4}		Homeodomain	POU	Homeobox	Pou
POU4F1	PO4F1_HUMAN	Q01851	POU4F1:BRN3A:RDC1	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	POU domain factors{3.1.10}	POU4 (Brn-3-like factors){3.1.10.4}	POU4F1 (Brn-3A, Oct-T1){3.1.10.4.1}		Homeodomain	POU	Homeobox	Pou
POU4F2	PO4F2_HUMAN	Q12837	POU4F2:BRN3B	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	POU domain factors{3.1.10}	POU4 (Brn-3-like factors){3.1.10.4}	POU4F2 (Brn-3B){3.1.10.4.2}		Homeodomain	POU	Homeobox	Pou
POU4F3	PO4F3_HUMAN	Q15319	POU4F3:BRN3C	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	POU domain factors{3.1.10}	POU4 (Brn-3-like factors){3.1.10.4}	POU4F3 (Brn-3C){3.1.10.4.3}		Homeodomain	POU	Homeobox	Pou
POU5F1	PO5F1_HUMAN	Q01860	POU5F1:OCT3:OCT4:OTF3	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	POU domain factors{3.1.10}	POU5 (Oct-3/4-like factors){3.1.10.5}	POU5F1 (Oct-3, Oct-4, OTF-3){3.1.10.5.1}	POU5F1, isoform A (Oct-3A){3.1.10.5.1.1}:POU5F1, isoform B (Oct-3B){3.1.10.5.1.2}	Homeodomain	POU	Homeobox	Pou
POU5F1B	P5F1B_HUMAN	Q06416	POU5F1B:OCT4PG1:OTF3C:OTF3P1:POU5F1P1:POU5FLC20:POU5FLC8	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	POU domain factors{3.1.10}	POU5 (Oct-3/4-like factors){3.1.10.5}	POU5F1P1 (POU5F1B, Oct-3C){3.1.10.5.2}		Homeodomain	Homeobox
POU5F1P1	P5F1B_HUMAN	Q06416	POU5F1B:OCT4PG1:OTF3C:OTF3P1:POU5F1P1:POU5FLC20:POU5FLC8	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	POU domain factors{3.1.10}	POU5 (Oct-3/4-like factors){3.1.10.5}	POU5F1P1 (POU5F1B, Oct-3C){3.1.10.5.2}		Homeodomain	Homeobox
POU6F1	PO6F1_HUMAN	Q14863	POU6F1:BRN5:MPOU:TCFB1	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	POU domain factors{3.1.10}	POU6 (Brn-5-like factors){3.1.10.6}	POU6F1 (Brn-5){3.1.10.6.1}		Homeodomain	Homeobox
POU6F2	PO6F2_HUMAN	P78424	POU6F2:RPF1	Helix-turn-helix domains{3}	Homeo domain factors{3.1}	POU domain factors{3.1.10}	POU6 (Brn-5-like factors){3.1.10.6}	POU6F2 (Brn-5){3.1.10.6.2}	POU6F2, isoform 1{3.1.10.6.2.1}:POU6F2, isoform 2{3.1.10.6.2.2}	Homeodomain	POU	Homeobox	Pou
PPARA	PPARA_HUMAN	Q07869	PPARA:NR1C1:PPAR	Zinc-coordinating DNA-binding domains{2}	Nuclear receptors with C4 zinc fingers{2.1}	Thyroid hormone receptor-related factors (NR1){2.1.2}	PPAR (NR1C){2.1.2.5}	PPARalpha (NR1C1){2.1.2.5.1}	PPARalpha, isoform 1{2.1.2.5.1.1}:PPARalpha, isoform 2{2.1.2.5.1.2}		
PPARD	PPARD_HUMAN	Q03181	PPARD:NR1C2:PPARB	Zinc-coordinating DNA-binding domains{2}	Nuclear receptors with C4 zinc fingers{2.1}	Thyroid hormone receptor-related factors (NR1){2.1.2}	PPAR (NR1C){2.1.2.5}	PPARbeta (PPARdelta) (NR1C2){2.1.2.5.2}	PPARbeta, isoform 1{2.1.2.5.2.1}:PPARbeta, isoform 2{2.1.2.5.2.2}:PPARbeta, isoform 3{2.1.2.5.2.3}:PPARbeta, isoform 4{2.1.2.5.2.4}	Nuclear receptor	zf-C4
PPARG	PPARG_HUMAN	P37231	PPARG:NR1C3	Zinc-coordinating DNA-binding domains{2}	Nuclear receptors with C4 zinc fingers{2.1}	Thyroid hormone receptor-related factors (NR1){2.1.2}	PPAR (NR1C){2.1.2.5}	PPARgamma (NR1C3){2.1.2.5.3}	PPARgamma1(wt), isoform 1{2.1.2.5.3.1}:PPARgamma2, isoform 2{2.1.2.5.3.2}:PPARgamma1(tr), isoform 3{2.1.2.5.3.3}		
PRDM1	PRDM1_HUMAN	O75626	PRDM1:BLIMP1	Zinc-coordinating DNA-binding domains{2}	C2H2 zinc finger factors{2.3}	More than 3 adjacent zinc finger factors{2.3.3}	PRDM1-like factors{2.3.3.12}	PRDM1 (BLIMP1) [4]{2.3.3.12.1}	PRDM1, isoform 1{2.3.3.12.1.1}:PRDM1, isoform 2{2.3.3.12.1.2}:PRDM1, isoform 3{2.3.3.12.1.3}	C2H2 ZF	zf-C2H2
PRDM14	PRD14_HUMAN	Q9GZV8	PRDM14	Zinc-coordinating DNA-binding domains{2}	C2H2 zinc finger factors{2.3}	More than 3 adjacent zinc finger factors{2.3.3}	unclassified{2.3.3.0}	PRDM14 [6]{2.3.3.0.35}		C2H2 ZF	zf-C2H2
PRDM4	PRDM4_HUMAN	Q9UKN5	PRDM4:PFM1	Zinc-coordinating DNA-binding domains{2}	C2H2 zinc finger factors{2.3}	Factors with multiple dispersed zinc fingers{2.3.4}	unclassified{2.3.4.0}	PRDM4 (PFM1) [1+5]{2.3.4.0.31}		C2H2 ZF	zf-C2H2
PRDM6	PRDM6_HUMAN	Q9NQX0	PRDM6:PFM3	Zinc-coordinating DNA-binding domains{2}	C2H2 zinc finger factors{2.3}	More than 3 adjacent zinc finger factors{2.3.3}	unclassified{2.3.3.0}	PRDM6 (PFM3){2.3.3.0.23}	PRDM6, isoform 1{2.3.3.0.23.1}:PRDM6, isoform 2 (B){2.3.3.0.23.2}:PRDM6, isoform 3 (A){2.3.3.0.23.3}	C2H2 ZF	zf-C2H2
PRDM9	PRDM9_HUMAN	Q9NQV7	PRDM9:PFM6	Zinc-coordinating DNA-binding domains{2}	C2H2 zinc finger factors{2.3}	Factors with multiple dispersed zinc fingers{2.3.4}	unclassified{2.3.4.0}	PRDM9 (PFM6) [1+13]{2.3.4.0.71}		C2H2 ZF	zf-C2H2
PRKDC	PRKDC_HUMAN	P78527	PRKDC:HYRC:HYRC1								
